FCI 3,Glen Of Imaal Terrier,54,69,48,53,42
FCI 1, ,30,32,49,56,41
FCI 5,Portuguese Warren Dog Miniature Wire-haired,40,33,28,35,41
FCI 8,Curly Coated Retriever,35,27,47,46,40
FCI 1,Flanders Cattle Dog,22,44,41,48,39
FCI 2,Black Terrier,38,61,37,27,39
FCI 5,Peruvian Hairless Medium-sized,9,19,8,22,39
FCI 6,Basset fauve de Bretagne,52,31,44,32,38
FCI 7,Pointer,23,32,35,27,37
FCI 4,"Rabbit Dachshund, Long-haired",38,47,54,34,36
FCI 2,Dogo Canario,42,44,41,48,35
FCI 5,Russian-European Laika,25,37,47,34,35
FCI 2,Broholmer,15,8,21,34,35
FCI 2,Saint Bernard Short-haired,23,28,27,39,34
FCI 2,Dogo Argentino,22,38,29,32,34
FCI 7,Weimaraner,29,43,40,14,34
FCI 7,German Rough-haired Pointer,20,11,15,9,34
FCI 10,Greyhound,63,19,68,78,33
FCI 2,Appenzell Cattle Dog,39,49,25,45,33
FCI 3,Bull Terrier,59,54,61,34,31
FCI 5,Cirneco dell'Etna,33,29,53,29,31
FCI 5,Volpino Italiano,32,21,25,34,30
FCI 5,Swedish Elkhound White,20,47,27,45,29
FCI 4,"Rabbit Dachshund, Smooth-haired",47,30,30,38,29
FCI 3,Bedlington Terrier,23,33,27,31,29
FCI 8,German Spaniel,31,26,47,28,29
FCI 7,Hungarian Short-haired Pointing Dog,37,23,40,28,29
FCI 9,Little Lion Dog,17,31,37,23,29
FCI 3,Dandie Dinmont Terrier,41,34,33,14,28
FCI 1,Polish Lowland Sheepdog,8,15,20,10,28
FCI 1,Briard,31,26,22,35,27
FCI 2,Dogue de Bordeaux,35,57,41,20,27
FCI 1,Old English Sheepdog,50,40,35,17,26
FCI 1,"Dutch Shepherd Dog, Long-haired",31,15,35,25,25
FCI 9,Belgian Griffon,30,12,17,21,25
FCI 9,Pekingese,46,67,30,24,24
FCI 1,Pyrenean sheepdog Long-haired,20,31,30,23,24
FCI 9,King Charles Spaniel,17,19,17,23,24
FCI 1,Portuguese Sheepdog,19,30,9,21,22
FCI 2,Entlebuch Cattle Dog,3,20,36,13,22
FCI 1,Slovakian Chuvach,26,10,29,23,21
FCI 5,Kai,2,5,7,13,21
FCI 7,Large Munsterlander,18,,4,11,21
FCI 2,Tosa,1,3,9,6,20
FCI 7,Bourbonnais Pointing Dog,3,7,13,4,20
FCI 2,Central Asian Shepherd Dog,43,50,3,42,19
FCI 2,Tornjak,10,2,3,1,19
FCI 1,Saarloos Wolfdog,23,14,39,39,18
FCI 1,Czeslovakian Wolfdog,27,21,24,25,18
FCI 7,Hungarian Wire-haired Pointing Dog,16,9,1,17,18
FCI 2,Great Swiss Mountain Dog,20,13,26,6,18
FCI 2,Mastiff,13,20,47,20,17
FCI 8,Irish Water Spaniel,11,13,7,10,17
FCI 6,Artesian-Norman Basset,,7,12,15,16
FCI 6,Grand Basset Griffon Vendeen,16,11,18,14,16
FCI 7,Italian Wire-haired Pointing Dog,21,11,16,13,16
FCI 3,Skye Terrier,33,55,31,63,15
FCI 3,Welsh Terrier,8,26,13,22,15
FCI 5,Mexican Hairless Dogs,13,22,10,18,15
FCI 3,Lakeland Terrier,11,13,17,14,15
FCI 5,Peruvian Hairless Miniature,27,11,11,8,15
FCI 2,Shar Pei,46,23,38,55,14
FCI 6,Estonian Hound,38,45,52,33,14
FCI 5,Norwegian Buhund,9,19,19,4,14
FCI 7,Italian Pointing Dog,13,10,13,18,13
FCI 8,Clumber Spaniel,27,11,32,15,13
FCI 5,Norwegian Lundehund,12,13,9,11,13
FCI 2,Affen Pinscher,30,35,24,35,12
FCI 5,Kishu,9,10,5,24,12
FCI 1,Pyrenean Sheepdog Smooth-faced,21,14,7,22,12
FCI 6,Bavarian Mountain Scenthound,6,,4,3,12
FCI 3,Cesky Terrier,15,8,34,1,12
FCI 1,"Dutch Shepherd Dog, Rough-Haired",,10,11,26,11
FCI 3,Sealyham Terrier,10,1,8,5,11
FCI 3,Kerry Blue Terrier,42,20,51,24,10
FCI 1,Pulis,28,25,9,20,10
FCI 10,Hungarian Greyhound,11,13,5,14,10
FCI 7,Irish Red & White Setter,13,23,8,2,10
FCI 1,East-European Shepherd,,,5,38,9
FCI 6,Posavski Gonic,7,6,11,11,8
FCI 7,Braque d'Auvergne,7,,1,7,8
FCI 5,Swedish Lapphund,5,8,10,4,8
FCI 5,Hällefors Dog,3,4,7,1,8
FCI 5,Shikoku,1,2,10,13,7
FCI 1,Berger Picard,3,3,1,8,7
FCI 1,South Russian Shepherd Dog,5,11,1,1,7
FCI 5,Pharaoh Hound,10,19,14,24,6
FCI 5,Ibizan Hounds,6,21,2,17,6
FCI 6,Petit Bleu de Gascogne,2,1,1,11,6
FCI 2,Azores Cattle Dog,1,4,,6,6
FCI 1,Kuvasz,1,1,4,3,5
FCI 8,American Water Spaniel,,8,,,5
FCI 10,Azawakh,2,,7,10,4
FCI 1,"Belgian Shepherd Dog, Laekenois",2,11,,1,4
